LABEL,ATTRIBUTE_NAME,ATTRIBUTE_VALUE,ATTRIBUTE_COUNT
car,clear,clear,1007
car,towing,false,1824
car,isolated,no,670
car,door_open,false,1824
car,has_rider,false,1819
car,occlusion,partially_occluded,664
car,truncated,false,1727
car,vehicle_status,moving,733
car,abnormal_trailer,false,1824
car,leading_obstacle,not_lead,1824
car,shoulder_vehicle,false,1824
car,vehicle_direction,back,409
car,vehicle_direction,side_right,255
car,emergency_vehicles,none,1824
car,occlusion,mostly_occluded,401
car,occlusion,barely_see,802
car,clear,unclear,817
car,isolated,hard,1154
car,vehicle_status,parked,1091
car,vehicle_direction,side_left,600
car,vehicle_direction,head,350
car,vehicle_direction,top,384
pedestrian,clear,clear,200
pedestrian,isolated,no,200
pedestrian,occlusion,partially_occluded,85
pedestrian,truncated,false,200
pedestrian,occlusion,no_occlusion,136
pedestrian,occlusion,mostly_occluded,15
car,occlusion,no_occlusion,224
car,truncated,true,97
car,has_rider,true,5
driver,clear,clear,17
driver,isolated,no,17
driver,occlusion,partially_occluded,4
driver,truncated,false,17
pedestrian,occlusion,barely_see,2
suv,clear,clear,413
suv,towing,false,465
suv,isolated,no,265
suv,door_open,false,465
suv,has_rider,false,465
suv,occlusion,partially_occluded,209
suv,truncated,false,465
suv,vehicle_status,moving,265
suv,abnormal_trailer,false,465
suv,leading_obstacle,not_lead,465
suv,shoulder_vehicle,false,465
suv,vehicle_direction,head,202
suv,vehicle_direction,side_left,193
suv,emergency_vehicles,none,465
suv,occlusion,mostly_occluded,226
suv,occlusion,barely_see,23
van,clear,unclear,55
van,isolated,hard,50
van,door_open,false,100
van,has_rider,false,100
van,occlusion,mostly_occluded,50
van,truncated,false,100
van,vehicle_status,parked,50
van,leading_obstacle,not_lead,100
van,shoulder_vehicle,false,100
van,vehicle_direction,side_left,50
van,emergency_vehicles,none,100
driver,occlusion,no_occlusion,2
flatbed_trailer_truck,clear,clear,100
flatbed_trailer_truck,towing,false,100
flatbed_trailer_truck,isolated,no,50
flatbed_trailer_truck,door_open,false,100
flatbed_trailer_truck,has_rider,false,100
flatbed_trailer_truck,occlusion,partially_occluded,100
flatbed_trailer_truck,truncated,false,50
flatbed_trailer_truck,vehicle_status,moving,50
flatbed_trailer_truck,abnormal_trailer,false,100
flatbed_trailer_truck,leading_obstacle,not_lead,100
flatbed_trailer_truck,shoulder_vehicle,false,100
flatbed_trailer_truck,vehicle_direction,head,50
truck,clear,clear,207
truck,towing,false,207
truck,isolated,no,207
truck,door_open,false,207
truck,has_rider,false,155
truck,occlusion,no_occlusion,258
truck,truncated,false,135
truck,transporter,false,207
truck,vehicle_status,moving,207
truck,abnormal_trailer,false,207
truck,leading_obstacle,not_lead,207
truck,shoulder_vehicle,false,207
truck,vehicle_direction,head,50
truck,vehicle_direction,side_right,143
truck,emergency_vehicles,none,207
pickup,clear,clear,162
pickup,towing,false,115
pickup,isolated,no,162
pickup,door_open,false,162
pickup,has_rider,false,155
pickup,occlusion,no_occlusion,230
pickup,truncated,true,86
pickup,vehicle_status,moving,162
pickup,abnormal_trailer,false,162
pickup,leading_obstacle,not_lead,162
pickup,shoulder_vehicle,false,162
pickup,vehicle_direction,side_right,109
pickup,emergency_vehicles,none,162
pickup,has_rider,true,7
pickup,truncated,false,76
pickup,vehicle_direction,head,62
face,clear,unclear,2
face,isolated,no,6
face,occlusion,no_occlusion,4
face,truncated,false,6
face,occlusion,partially_occluded,2
van,isolated,no,50
van,occlusion,partially_occluded,49
van,vehicle_status,moving,50
van,vehicle_direction,head,44
van,clear,clear,45
van,vehicle_direction,side_right,25
van,occlusion,no_occlusion,1
truck,has_rider,true,52
truck,occlusion,partially_occluded,88
truck,vehicle_direction,back,89
truck,occlusion,mostly_occluded,55
truck,truncated,true,72
truck,occlusion,barely_see,1
face,clear,clear,4
suv,vehicle_direction,side_right,168
suv,vehicle_direction,top,53
flatbed_trailer_truck,isolated,hard,50
flatbed_trailer_truck,occlusion,no_occlusion,50
flatbed_trailer_truck,truncated,true,50
flatbed_trailer_truck,vehicle_status,parked,50
flatbed_trailer_truck,vehicle_direction,side_left,50
driver,occlusion,mostly_occluded,11
suv,isolated,hard,200
suv,vehicle_status,parked,200
trailer,clear,clear,59
trailer,isolated,no,59
trailer,has_rider,false,59
trailer,occlusion,no_occlusion,71
trailer,truncated,true,28
trailer,vehicle_status,moving,59
trailer,trailer_linking,dbd769e9-c6d0-4bbf-be1c-5cf52114863f,96
trailer,abnormal_trailer,false,59
trailer,leading_obstacle,not_lead,59
trailer,shoulder_vehicle,false,59
trailer,vehicle_direction,head,14
trailer,vehicle_direction,side_right,53
trailer,trailer_linking,NA,13
trailer,vehicle_direction,back,15
trailer,occlusion,partially_occluded,30
trailer,truncated,false,31
suv,occlusion,no_occlusion,57
suv,clear,unclear,52
pickup,towing,true,47
pickup,vehicle_direction,back,21
pickup,occlusion,partially_occluded,99
pickup,vehicle_direction,side_left,38
pickup,occlusion,barely_see,9
pickup,occlusion,mostly_occluded,17
pickup,vehicle_direction,top,10
car,is_empty,false,265
car,lane_status,none,267
pedestrian,is_empty,false,38
pedestrian,lane_status,none,38
truck,is_empty,false,195
truck,lane_status,none,145
pickup,is_empty,false,193
pickup,lane_status,none,143
flatbed_trailer_truck,is_empty,false,50
flatbed_trailer_truck,lane_status,none,50
car,is_empty,true,2
trailer,is_empty,false,50
trailer,occlusion,mostly_occluded,8
trailer,lane_status,none,50
suv,is_empty,false,50
suv,lane_status,none,50
truck,lane_status,ego_lane,50
pickup,lane_status,ego_lane,50
